,P,Exp P,Log P,Log Exp P
4179426,2.89e-06,3.0633645985333537e-06,5.539,5.514
16194939,3.15e-06,3.121163930581153e-06,5.502,5.506
16194965,3.34e-06,3.178963262628952e-06,5.476,5.498
16194947,3.4e-06,3.236762594676751e-06,5.469,5.49
12559510,3.53e-06,3.29456192672455e-06,5.452,5.482
12559598,3.61e-06,3.352361258772349e-06,5.442,5.475
16194080,3.62e-06,3.410160590820148e-06,5.441,5.467
3719044,3.63e-06,3.4679599228679472e-06,5.44,5.46
2522486,3.7e-06,3.5257592549157464e-06,5.432,5.453
2440257,3.73e-06,3.5835585869635455e-06,5.428,5.446
10094007,3.88e-06,3.6413579190113446e-06,5.411,5.439
5772718,3.89e-06,3.6991572510591438e-06,5.41,5.432
12992116,4.02e-06,3.756956583106943e-06,5.396,5.425
8211855,4.13e-06,3.8147559151547425e-06,5.384,5.419
12560816,4.51e-06,3.872555247202542e-06,5.346,5.412
12560767,4.52e-06,3.930354579250341e-06,5.345,5.406
14893201,4.59e-06,3.988153911298139e-06,5.338,5.399
12561249,4.62e-06,4.045953243345938e-06,5.335,5.393
14538206,4.71e-06,4.103752575393737e-06,5.327,5.387
7973156,4.74e-06,4.1615519074415365e-06,5.324,5.381
2083594,4.82e-06,4.219351239489336e-06,5.317,5.375
5025810,4.85e-06,4.277150571537135e-06,5.314,5.369
7973197,4.96e-06,4.334949903584934e-06,5.305,5.363
12108200,4.98e-06,4.392749235632733e-06,5.303,5.357
1188892,5.01e-06,4.450548567680532e-06,5.3,5.352
12108199,5.05e-06,4.508347899728331e-06,5.297,5.346
12560243,5.13e-06,4.5661472317761305e-06,5.29,5.34
8349436,5.15e-06,4.62394656382393e-06,5.288,5.335
16195055,5.41e-06,4.681745895871729e-06,5.267,5.33
3977572,5.44e-06,4.739545227919528e-06,5.264,5.324
8655606,5.45e-06,4.797344559967327e-06,5.264,5.319
16194525,5.49e-06,4.855143892015126e-06,5.26,5.314
12560328,5.58e-06,4.912943224062925e-06,5.253,5.309
12108236,5.64e-06,4.9707425561107245e-06,5.249,5.304
10295150,5.73e-06,5.028541888158524e-06,5.242,5.299
14121154,5.78e-06,5.086341220206323e-06,5.238,5.294
7973027,5.94e-06,5.144140552254122e-06,5.226,5.289
5272361,6e-06,5.201939884301921e-06,5.222,5.284
2088267,6.03e-06,5.25973921634972e-06,5.22,5.279
7973069,6.09e-06,5.317538548397519e-06,5.215,5.274
7973142,6.09e-06,5.3753378804453185e-06,5.215,5.27
14893198,6.13e-06,5.433137212493118e-06,5.213,5.265
7973010,6.15e-06,5.490936544540917e-06,5.211,5.26
2500809,6.29e-06,5.548735876588716e-06,5.201,5.256
14538122,6.35e-06,5.606535208636515e-06,5.197,5.251
8490438,6.35e-06,5.664334540684314e-06,5.197,5.247
16194898,6.44e-06,5.722133872732113e-06,5.191,5.242
5493925,6.55e-06,5.7799332047799125e-06,5.184,5.238
15106422,6.65e-06,5.837732536827712e-06,5.177,5.234
10966794,7.07e-06,5.895531868875511e-06,5.151,5.229
10568774,7.46e-06,5.95333120092331e-06,5.127,5.225
10938734,7.67e-06,6.011130532971109e-06,5.115,5.221
1266072,7.73e-06,6.068929865018908e-06,5.112,5.217
4159303,7.84e-06,6.126729197066707e-06,5.106,5.213
10568509,7.85e-06,6.1845285291145064e-06,5.105,5.209
4118853,7.9e-06,6.242327861162306e-06,5.102,5.205
16031403,7.9e-06,6.300127193210105e-06,5.102,5.201
4179905,7.92e-06,6.357926525257904e-06,5.101,5.197
5025809,8.06e-06,6.415725857305703e-06,5.094,5.193
10965817,8.11e-06,6.473525189353502e-06,5.091,5.189
1999007,8.25e-06,6.531324521401301e-06,5.084,5.185
419898,8.31e-06,6.5891238534491e-06,5.08,5.181
10568705,8.41e-06,6.646923185496899e-06,5.075,5.177
10698841,8.43e-06,6.704722517544698e-06,5.074,5.174
17241116,8.48e-06,6.762521849592497e-06,5.072,5.17
17241117,8.54e-06,6.820321181640296e-06,5.069,5.166
2523226,8.64e-06,6.878120513688095e-06,5.063,5.163
14121217,8.81e-06,6.9359198457358944e-06,5.055,5.159
15578874,8.83e-06,6.9937191777836936e-06,5.054,5.155
419885,8.84e-06,7.051518509831493e-06,5.054,5.152
14747792,8.9e-06,7.109317841879292e-06,5.051,5.148
8212277,8.98e-06,7.167117173927091e-06,5.047,5.145
12518952,9.01e-06,7.22491650597489e-06,5.045,5.141
1251840,9.25e-06,7.282715838022689e-06,5.034,5.138
770976,9.26e-06,7.3405151700704884e-06,5.033,5.134
17241124,9.32e-06,7.3983145021182876e-06,5.031,5.131
12560456,9.33e-06,7.456113834166087e-06,5.03,5.127
419830,9.46e-06,7.513913166213886e-06,5.024,5.124
419854,9.49e-06,7.571712498261685e-06,5.023,5.121
4118952,9.66e-06,7.629511830309485e-06,5.015,5.118
2500760,9.69e-06,7.687311162357283e-06,5.014,5.114
15106841,9.85e-06,7.745110494405083e-06,5.007,5.111
17241076,9.93e-06,7.802909826452882e-06,5.003,5.108
1047295,1.02e-05,7.860709158500682e-06,4.991,5.105
16441074,1.05e-05,7.91850849054848e-06,4.979,5.101
8054768,1.06e-05,7.976307822596278e-06,4.975,5.098
10567350,1.06e-05,8.034107154644078e-06,4.975,5.095
12561965,1.06e-05,8.091906486691876e-06,4.975,5.092
7781637,1.08e-05,8.149705818739676e-06,4.967,5.089
1045933,1.09e-05,8.207505150787475e-06,4.963,5.086
17241084,1.12e-05,8.265304482835275e-06,4.951,5.083
2994934,1.12e-05,8.323103814883073e-06,4.951,5.08
17241077,1.12e-05,8.380903146930873e-06,4.951,5.077
12560124,1.13e-05,8.438702478978671e-06,4.947,5.074
16441080,1.13e-05,8.496501811026471e-06,4.947,5.071
12108248,1.14e-05,8.55430114307427e-06,4.943,5.068
15937169,1.14e-05,8.61210047512207e-06,4.943,5.065
16193791,1.14e-05,8.669899807169868e-06,4.943,5.062
5272384,1.15e-05,8.727699139217668e-06,4.939,5.059
14603916,1.16e-05,8.785498471265466e-06,4.936,5.056
5272453,1.16e-05,8.843297803313266e-06,4.936,5.053
14951914,1.16e-05,8.901097135361064e-06,4.936,5.051
12108226,1.18e-05,8.958896467408864e-06,4.928,5.048
17277138,1.19e-05,9.016695799456663e-06,4.924,5.045
5272452,1.19e-05,9.074495131504463e-06,4.924,5.042
5272292,1.2e-05,9.132294463552261e-06,4.921,5.039
17241083,1.21e-05,9.190093795600061e-06,4.917,5.037
17241133,1.21e-05,9.24789312764786e-06,4.917,5.034
11382445,1.23e-05,9.30569245969566e-06,4.91,5.031
5272392,1.24e-05,9.363491791743458e-06,4.907,5.029
2523478,1.25e-05,9.421291123791258e-06,4.903,5.026
17241086,1.25e-05,9.479090455839056e-06,4.903,5.023
17241078,1.26e-05,9.536889787886856e-06,4.9,5.021
1251772,1.27e-05,9.594689119934654e-06,4.896,5.018
13395775,1.27e-05,9.652488451982454e-06,4.896,5.015
17241184,1.27e-05,9.710287784030252e-06,4.896,5.013
17241110,1.28e-05,9.768087116078052e-06,4.893,5.01
6330622,1.28e-05,9.82588644812585e-06,4.893,5.008
5750588,1.3e-05,9.88368578017365e-06,4.886,5.005
5750595,1.3e-05,9.941485112221449e-06,4.886,5.003
5750570,1.3e-05,9.999284444269249e-06,4.886,5.0
5750567,1.3e-05,1.0057083776317047e-05,4.886,4.998
11520291,1.31e-05,1.0114883108364847e-05,4.883,4.995
14940429,1.31e-05,1.0172682440412646e-05,4.883,4.993
17241104,1.32e-05,1.0230481772460445e-05,4.879,4.99
17241094,1.33e-05,1.0288281104508244e-05,4.876,4.988
11782032,1.33e-05,1.0346080436556044e-05,4.876,4.985
10567759,1.33e-05,1.0403879768603842e-05,4.876,4.983
17241135,1.34e-05,1.0461679100651642e-05,4.873,4.98
17241107,1.36e-05,1.051947843269944e-05,4.866,4.978
323331,1.37e-05,1.0577277764747239e-05,4.863,4.976
5750676,1.37e-05,1.0635077096795039e-05,4.863,4.973
12561017,1.37e-05,1.0692876428842837e-05,4.863,4.971
12108247,1.38e-05,1.0750675760890637e-05,4.86,4.969
5750706,1.38e-05,1.0808475092938435e-05,4.86,4.966
17241382,1.38e-05,1.0866274424986235e-05,4.86,4.964
12561216,1.39e-05,1.0924073757034034e-05,4.857,4.962
5750593,1.4e-05,1.0981873089081833e-05,4.854,4.959
5750590,1.4e-05,1.1039672421129632e-05,4.854,4.957
14716483,1.42e-05,1.1097471753177432e-05,4.848,4.955
1635427,1.42e-05,1.115527108522523e-05,4.848,4.953
12561069,1.42e-05,1.121307041727303e-05,4.848,4.95
1813621,1.43e-05,1.1270869749320828e-05,4.845,4.948
8790492,1.44e-05,1.1328669081368628e-05,4.842,4.946
14893245,1.45e-05,1.1386468413416427e-05,4.839,4.944
3958816,1.45e-05,1.1444267745464227e-05,4.839,4.941
16441097,1.45e-05,1.1502067077512025e-05,4.839,4.939
17241132,1.47e-05,1.1559866409559825e-05,4.833,4.937
8655810,1.5e-05,1.1617665741607623e-05,4.824,4.935
7620757,1.5e-05,1.1675465073655423e-05,4.824,4.933
12560454,1.5e-05,1.1733264405703221e-05,4.824,4.931
5750727,1.51e-05,1.1791063737751021e-05,4.821,4.928
17277175,1.53e-05,1.184886306979882e-05,4.815,4.926
10680062,1.54e-05,1.190666240184662e-05,4.812,4.924
1251561,1.54e-05,1.1964461733894418e-05,4.812,4.922
17241126,1.55e-05,1.2022261065942218e-05,4.81,4.92
17241127,1.55e-05,1.2080060397990016e-05,4.81,4.918
17241136,1.55e-05,1.2137859730037816e-05,4.81,4.916
12560948,1.56e-05,1.2195659062085615e-05,4.807,4.914
17241172,1.56e-05,1.2253458394133415e-05,4.807,4.912
17241189,1.56e-05,1.2311257726181213e-05,4.807,4.91
14537957,1.57e-05,1.2369057058229013e-05,4.804,4.908
16441079,1.59e-05,1.2426856390276811e-05,4.799,4.906
9454149,1.59e-05,1.2484655722324611e-05,4.799,4.904
1635396,1.59e-05,1.254245505437241e-05,4.799,4.902
11264566,1.6e-05,1.260025438642021e-05,4.796,4.9
17241129,1.6e-05,1.2658053718468008e-05,4.796,4.898
17241139,1.61e-05,1.2715853050515808e-05,4.793,4.896
17241194,1.61e-05,1.2773652382563606e-05,4.793,4.894
16041561,1.62e-05,1.2831451714611406e-05,4.79,4.892
4306652,1.62e-05,1.2889251046659204e-05,4.79,4.89
17241096,1.62e-05,1.2947050378707004e-05,4.79,4.888
17241211,1.63e-05,1.3004849710754803e-05,4.788,4.886
17241209,1.63e-05,1.3062649042802603e-05,4.788,4.884
1046561,1.63e-05,1.3120448374850401e-05,4.788,4.882
17241093,1.64e-05,1.31782477068982e-05,4.785,4.88
14537956,1.64e-05,1.3236047038946e-05,4.785,4.878
17241197,1.66e-05,1.3293846370993797e-05,4.78,4.876
17241196,1.66e-05,1.3351645703041597e-05,4.78,4.874
12108160,1.66e-05,1.3409445035089396e-05,4.78,4.873
17241148,1.67e-05,1.3467244367137196e-05,4.777,4.871
14942742,1.67e-05,1.3525043699184994e-05,4.777,4.869
17241145,1.7e-05,1.3582843031232794e-05,4.77,4.867
1813921,1.7e-05,1.3640642363280592e-05,4.77,4.865
17241191,1.71e-05,1.3698441695328392e-05,4.767,4.863
12108181,1.71e-05,1.375624102737619e-05,4.767,4.862
1046864,1.71e-05,1.381404035942399e-05,4.767,4.86
17241187,1.72e-05,1.3871839691471789e-05,4.764,4.858
15106312,1.73e-05,1.3929639023519589e-05,4.762,4.856
4413318,1.74e-05,1.3987438355567387e-05,4.759,4.854
12361421,1.74e-05,1.4045237687615187e-05,4.759,4.852
8082082,1.76e-05,1.4103037019662985e-05,4.754,4.851
2393908,1.76e-05,1.4160836351710785e-05,4.754,4.849
17241140,1.79e-05,1.4218635683758584e-05,4.747,4.847
16193685,1.79e-05,1.4276435015806384e-05,4.747,4.845
6330727,1.8e-05,1.4334234347854182e-05,4.745,4.844
5766835,1.81e-05,1.4392033679901982e-05,4.742,4.842
17241147,1.83e-05,1.444983301194978e-05,4.738,4.84
12108148,1.84e-05,1.450763234399758e-05,4.735,4.838
17241143,1.85e-05,1.4565431676045379e-05,4.733,4.837
17241141,1.85e-05,1.4623231008093179e-05,4.733,4.835
12623134,1.87e-05,1.4681030340140977e-05,4.728,4.833
17277122,1.88e-05,1.4738829672188777e-05,4.726,4.832
2664019,1.88e-05,1.4796629004236575e-05,4.726,4.83
17241190,1.88e-05,1.4854428336284375e-05,4.726,4.828
11413509,1.89e-05,1.4912227668332173e-05,4.724,4.826
15039769,1.89e-05,1.4970027000379973e-05,4.724,4.825
5013044,1.9e-05,1.5027826332427772e-05,4.721,4.823
5838951,1.91e-05,1.5085625664475572e-05,4.719,4.821
17241158,1.91e-05,1.514342499652337e-05,4.719,4.82
14893247,1.92e-05,1.520122432857117e-05,4.717,4.818
5883336,1.92e-05,1.525902366061897e-05,4.717,4.816
16193828,1.94e-05,1.5316822992666767e-05,4.712,4.815
8490426,1.95e-05,1.5374622324714567e-05,4.71,4.813
7972974,1.97e-05,1.5432421656762367e-05,4.706,4.812
5750531,1.98e-05,1.5490220988810167e-05,4.703,4.81
17241294,1.98e-05,1.5548020320857963e-05,4.703,4.808
17241161,1.99e-05,1.5605819652905763e-05,4.701,4.807
2051491,1.99e-05,1.5663618984953563e-05,4.701,4.805
4902557,2e-05,1.5721418317001363e-05,4.699,4.804
17241157,2e-05,1.577921764904916e-05,4.699,4.802
5750583,2e-05,1.583701698109696e-05,4.699,4.8
5753247,2.01e-05,1.589481631314476e-05,4.697,4.799
1046220,2.01e-05,1.5952615645192556e-05,4.697,4.797
16194370,2.01e-05,1.6010414977240356e-05,4.697,4.796
17241168,2.02e-05,1.6068214309288156e-05,4.695,4.794
5750477,2.02e-05,1.6126013641335956e-05,4.695,4.792
16193933,2.03e-05,1.6183812973383753e-05,4.693,4.791
6827523,2.03e-05,1.6241612305431553e-05,4.693,4.789
17241149,2.04e-05,1.6299411637479353e-05,4.69,4.788
17241150,2.04e-05,1.6357210969527153e-05,4.69,4.786
987715,2.04e-05,1.641501030157495e-05,4.69,4.785
17241151,2.06e-05,1.647280963362275e-05,4.686,4.783
17241338,2.06e-05,1.653060896567055e-05,4.686,4.782
17241159,2.07e-05,1.658840829771835e-05,4.684,4.78
17241156,2.08e-05,1.6646207629766146e-05,4.682,4.779
17241169,2.09e-05,1.6704006961813946e-05,4.68,4.777
7973215,2.09e-05,1.6761806293861746e-05,4.68,4.776
5750532,2.09e-05,1.6819605625909546e-05,4.68,4.774
5272432,2.1e-05,1.6877404957957343e-05,4.678,4.773
9618686,2.12e-05,1.6935204290005143e-05,4.674,4.771
5882115,2.14e-05,1.6993003622052943e-05,4.67,4.77
3018996,2.15e-05,1.7050802954100742e-05,4.668,4.768
15106593,2.15e-05,1.710860228614854e-05,4.668,4.767
5883765,2.16e-05,1.716640161819634e-05,4.666,4.765
17241259,2.16e-05,1.722420095024414e-05,4.666,4.764
12108154,2.18e-05,1.728200028229194e-05,4.662,4.762
2122348,2.2e-05,1.7339799614339736e-05,4.658,4.761
3823897,2.2e-05,1.7397598946387536e-05,4.658,4.76
647214,2.2e-05,1.7455398278435336e-05,4.658,4.758
17241215,2.21e-05,1.7513197610483136e-05,4.656,4.757
17241174,2.24e-05,1.7570996942530932e-05,4.65,4.755
12108162,2.25e-05,1.7628796274578732e-05,4.648,4.754
11413159,2.25e-05,1.7686595606626532e-05,4.648,4.752
2433377,2.26e-05,1.7744394938674332e-05,4.646,4.751
13853858,2.26e-05,1.780219427072213e-05,4.646,4.75
12559294,2.27e-05,1.785999360276993e-05,4.644,4.748
7749744,2.28e-05,1.791779293481773e-05,4.642,4.747
14753793,2.28e-05,1.797559226686553e-05,4.642,4.745
17241154,2.28e-05,1.8033391598913325e-05,4.642,4.744
12561381,2.29e-05,1.8091190930961125e-05,4.64,4.743
323332,2.31e-05,1.8148990263008925e-05,4.636,4.741
12108166,2.33e-05,1.8206789595056725e-05,4.633,4.74
10680066,2.34e-05,1.8264588927104522e-05,4.631,4.738
7973549,2.35e-05,1.8322388259152322e-05,4.629,4.737
1396451,2.38e-05,1.8380187591200122e-05,4.623,4.736
12108161,2.39e-05,1.843798692324792e-05,4.622,4.734
3824080,2.4e-05,1.849578625529572e-05,4.62,4.733
6135873,2.41e-05,1.855358558734352e-05,4.618,4.732
5839114,2.42e-05,1.861138491939132e-05,4.616,4.73
17241230,2.42e-05,1.8669184251439115e-05,4.616,4.729
3824263,2.42e-05,1.8726983583486915e-05,4.616,4.728
17241166,2.42e-05,1.8784782915534715e-05,4.616,4.726
4229798,2.43e-05,1.8842582247582515e-05,4.614,4.725
13195505,2.45e-05,1.890038157963031e-05,4.611,4.724
13195506,2.48e-05,1.895818091167811e-05,4.606,4.722
12632166,2.49e-05,1.901598024372591e-05,4.604,4.721
8609531,2.5e-05,1.907377957577371e-05,4.602,4.72
8657149,2.51e-05,1.9131578907821508e-05,4.6,4.718
8082162,2.51e-05,1.9189378239869308e-05,4.6,4.717
13130844,2.52e-05,1.9247177571917108e-05,4.599,4.716
8081790,2.52e-05,1.9304976903964908e-05,4.599,4.714
12528540,2.53e-05,1.9362776236012705e-05,4.597,4.713
14542265,2.54e-05,1.9420575568060505e-05,4.595,4.712
3447451,2.55e-05,1.9478374900108305e-05,4.593,4.71
1635656,2.55e-05,1.9536174232156105e-05,4.593,4.709
1373108,2.56e-05,1.95939735642039e-05,4.592,4.708
5272495,2.57e-05,1.96517728962517e-05,4.59,4.707
12082456,2.57e-05,1.97095722282995e-05,4.59,4.705
13195493,2.58e-05,1.97673715603473e-05,4.588,4.704
13195481,2.63e-05,1.9825170892395098e-05,4.58,4.703
4902483,2.64e-05,1.9882970224442898e-05,4.578,4.702
4902723,2.66e-05,1.9940769556490698e-05,4.575,4.7
8211744,2.67e-05,1.9998568888538498e-05,4.573,4.699
5766939,2.68e-05,2.0056368220586294e-05,4.572,4.698
12827852,2.68e-05,2.0114167552634094e-05,4.572,4.696
16441078,2.69e-05,2.0171966884681894e-05,4.57,4.695
2790482,2.7e-05,2.0229766216729694e-05,4.569,4.694
13853849,2.7e-05,2.028756554877749e-05,4.569,4.693
12108149,2.7e-05,2.034536488082529e-05,4.569,4.692
8152811,2.7e-05,2.040316421287309e-05,4.569,4.69
17241255,2.8e-05,2.046096354492089e-05,4.553,4.689
13130869,2.81e-05,2.0518762876968688e-05,4.551,4.688
11025940,2.81e-05,2.0576562209016488e-05,4.551,4.687
3979104,2.81e-05,2.0634361541064288e-05,4.551,4.685
2616487,2.84e-05,2.0692160873112088e-05,4.547,4.684
13860860,2.86e-05,2.0749960205159884e-05,4.544,4.683
14952176,2.87e-05,2.0807759537207684e-05,4.542,4.682
6729283,2.87e-05,2.0865558869255484e-05,4.542,4.681
12108151,2.9e-05,2.0923358201303284e-05,4.538,4.679
12081991,2.91e-05,2.098115753335108e-05,4.536,4.678
14014089,2.91e-05,2.103895686539888e-05,4.536,4.677
1045817,2.93e-05,2.109675619744668e-05,4.533,4.676
5882624,2.93e-05,2.1154555529494477e-05,4.533,4.675
10197338,2.93e-05,2.1212354861542277e-05,4.533,4.673
2790550,2.93e-05,2.1270154193590077e-05,4.533,4.672
10314559,2.94e-05,2.1327953525637877e-05,4.532,4.671
8789570,2.97e-05,2.1385752857685674e-05,4.527,4.67
986477,2.98e-05,2.1443552189733474e-05,4.526,4.669
4180602,2.98e-05,2.1501351521781274e-05,4.526,4.668
1645001,3e-05,2.1559150853829074e-05,4.523,4.666
16372494,3.02e-05,2.161695018587687e-05,4.52,4.665
7973077,3.03e-05,2.167474951792467e-05,4.519,4.664
8116421,3.04e-05,2.173254884997247e-05,4.517,4.663
2396926,3.05e-05,2.179034818202027e-05,4.516,4.662
16441077,3.05e-05,2.1848147514068067e-05,4.516,4.661
3064779,3.08e-05,2.1905946846115867e-05,4.511,4.659
4902800,3.09e-05,2.1963746178163667e-05,4.51,4.658
6406875,3.09e-05,2.2021545510211467e-05,4.51,4.657
13864259,3.09e-05,2.2079344842259264e-05,4.51,4.656
17241142,3.09e-05,2.2137144174307064e-05,4.51,4.655
13195525,3.1e-05,2.2194943506354864e-05,4.509,4.654
8838001,3.1e-05,2.2252742838402664e-05,4.509,4.653
11413066,3.11e-05,2.231054217045046e-05,4.507,4.651
1921797,3.13e-05,2.236834150249826e-05,4.504,4.65
3259498,3.14e-05,2.242614083454606e-05,4.503,4.649
4153337,3.15e-05,2.248394016659386e-05,4.502,4.648
14014178,3.19e-05,2.2541739498641657e-05,4.496,4.647
15423161,3.2e-05,2.2599538830689457e-05,4.495,4.646
3979118,3.21e-05,2.2657338162737257e-05,4.493,4.645
1743281,3.23e-05,2.2715137494785057e-05,4.491,4.644
5429009,3.24e-05,2.2772936826832853e-05,4.489,4.643
1644713,3.26e-05,2.2830736158880653e-05,4.487,4.641
15106716,3.26e-05,2.2888535490928453e-05,4.487,4.64
14816573,3.26e-05,2.2946334822976253e-05,4.487,4.639
14863847,3.27e-05,2.300413415502405e-05,4.485,4.638
13195467,3.27e-05,2.306193348707185e-05,4.485,4.637
13195445,3.29e-05,2.311973281911965e-05,4.483,4.636
2790513,3.29e-05,2.317753215116745e-05,4.483,4.635
13195632,3.29e-05,2.3235331483215246e-05,4.483,4.634
16441086,3.32e-05,2.3293130815263046e-05,4.479,4.633
6085527,3.38e-05,2.3350930147310846e-05,4.471,4.632
6085528,3.38e-05,2.3408729479358646e-05,4.471,4.631
2068715,3.38e-05,2.3466528811406443e-05,4.471,4.63
10184817,3.38e-05,2.3524328143454243e-05,4.471,4.628
2357324,3.4e-05,2.3582127475502043e-05,4.469,4.627
3912170,3.43e-05,2.363992680754984e-05,4.465,4.626
9533570,3.43e-05,2.369772613959764e-05,4.465,4.625
1921748,3.45e-05,2.375552547164544e-05,4.462,4.624
17059172,3.45e-05,2.381332480369324e-05,4.462,4.623
3912092,3.47e-05,2.3871124135741036e-05,4.46,4.622
17139456,3.47e-05,2.3928923467788836e-05,4.46,4.621
10184811,3.47e-05,2.3986722799836636e-05,4.46,4.62
17139451,3.49e-05,2.4044522131884436e-05,4.457,4.619
11170655,3.51e-05,2.4102321463932233e-05,4.455,4.618
5271538,3.54e-05,2.4160120795980033e-05,4.451,4.617
2985027,3.56e-05,2.4217920128027833e-05,4.449,4.616
4902783,3.59e-05,2.4275719460075633e-05,4.445,4.615
1921860,3.59e-05,2.433351879212343e-05,4.445,4.614
3065278,3.61e-05,2.439131812417123e-05,4.442,4.613
8656620,3.62e-05,2.444911745621903e-05,4.441,4.612
8490446,3.62e-05,2.450691678826683e-05,4.441,4.611
5537699,3.64e-05,2.4564716120314626e-05,4.439,4.61
16441090,3.65e-05,2.4622515452362426e-05,4.438,4.609
13195624,3.65e-05,2.4680314784410226e-05,4.438,4.608
4902678,3.67e-05,2.4738114116458026e-05,4.435,4.607
1049202,3.68e-05,2.4795913448505822e-05,4.434,4.606
13706183,3.72e-05,2.4853712780553622e-05,4.429,4.605
16441091,3.73e-05,2.4911512112601422e-05,4.428,4.604
4902810,3.76e-05,2.4969311444649222e-05,4.425,4.603
6815219,3.76e-05,2.502711077669702e-05,4.425,4.602
898254,3.76e-05,2.508491010874482e-05,4.425,4.601
12147469,3.76e-05,2.514270944079262e-05,4.425,4.6
4902660,3.78e-05,2.520050877284042e-05,4.423,4.599
13195580,3.78e-05,2.5258308104888216e-05,4.423,4.598
10905649,3.78e-05,2.5316107436936015e-05,4.423,4.597
11025902,3.78e-05,2.5373906768983815e-05,4.423,4.596
4902677,3.79e-05,2.5431706101031615e-05,4.421,4.595
4902624,3.79e-05,2.5489505433079412e-05,4.421,4.594
11025913,3.8e-05,2.5547304765127212e-05,4.42,4.593
13195583,3.8e-05,2.5605104097175012e-05,4.42,4.592
1543430,3.8e-05,2.5662903429222812e-05,4.42,4.591
12108182,3.84e-05,2.572070276127061e-05,4.416,4.59
4902770,3.84e-05,2.577850209331841e-05,4.416,4.589
1921833,3.85e-05,2.583630142536621e-05,4.415,4.588
4902667,3.85e-05,2.589410075741401e-05,4.415,4.587
4902592,3.86e-05,2.5951900089461805e-05,4.413,4.586
985900,3.86e-05,2.6009699421509605e-05,4.413,4.585
12782617,3.87e-05,2.6067498753557405e-05,4.412,4.584
6729197,3.87e-05,2.6125298085605205e-05,4.412,4.583
4902792,3.87e-05,2.6183097417653002e-05,4.412,4.582
2357316,3.88e-05,2.6240896749700802e-05,4.411,4.581
4902663,3.88e-05,2.6298696081748602e-05,4.411,4.58
3733027,3.88e-05,2.63564954137964e-05,4.411,4.579
1188682,3.88e-05,2.64142947458442e-05,4.411,4.578
