,P,Exp P,Log P,Log Exp P
80024,3.69e-06,4.0815219565742174e-06,5.433,5.389
1487815,3.74e-06,4.1352261928449306e-06,5.427,5.384
11355146,3.89e-06,4.1889304291156445e-06,5.41,5.378
18527726,4.01e-06,4.242634665386358e-06,5.397,5.372
14430622,4.08e-06,4.296338901657071e-06,5.389,5.367
11355123,4.13e-06,4.350043137927785e-06,5.384,5.362
7459158,4.13e-06,4.403747374198498e-06,5.384,5.356
1488137,4.15e-06,4.457451610469211e-06,5.382,5.351
18554546,4.15e-06,4.511155846739925e-06,5.382,5.346
1855624,4.35e-06,4.564860083010638e-06,5.362,5.341
8043570,4.37e-06,4.618564319281351e-06,5.36,5.335
5109410,4.39e-06,4.672268555552064e-06,5.358,5.33
7458861,4.43e-06,4.725972791822778e-06,5.354,5.326
1070548,4.44e-06,4.7796770280934915e-06,5.353,5.321
2704432,4.49e-06,4.833381264364205e-06,5.348,5.316
11660275,4.51e-06,4.887085500634919e-06,5.346,5.311
6070498,4.57e-06,4.940789736905632e-06,5.34,5.306
5626256,4.62e-06,4.994493973176345e-06,5.335,5.302
5109369,4.63e-06,5.048198209447059e-06,5.334,5.297
1071659,4.67e-06,5.101902445717772e-06,5.331,5.292
12179585,4.73e-06,5.155606681988485e-06,5.325,5.288
1976335,4.77e-06,5.209310918259198e-06,5.321,5.283
9040580,4.79e-06,5.263015154529912e-06,5.32,5.279
18551690,4.89e-06,5.316719390800625e-06,5.311,5.274
18554511,4.96e-06,5.3704236270713385e-06,5.305,5.27
80085,5.02e-06,5.4241278633420525e-06,5.299,5.266
5443656,5.31e-06,5.477832099612766e-06,5.275,5.261
4659969,5.33e-06,5.531536335883479e-06,5.273,5.257
2704443,5.38e-06,5.585240572154193e-06,5.269,5.253
15754276,5.47e-06,5.638944808424906e-06,5.262,5.249
3170616,5.64e-06,5.692649044695619e-06,5.249,5.245
1488080,5.65e-06,5.746353280966333e-06,5.248,5.241
11355102,5.71e-06,5.800057517237046e-06,5.243,5.237
2917142,5.86e-06,5.853761753507759e-06,5.232,5.233
4005810,5.87e-06,5.907465989778472e-06,5.231,5.229
17329908,5.89e-06,5.961170226049186e-06,5.23,5.225
17191709,6.01e-06,6.0148744623198995e-06,5.221,5.221
12178948,6.04e-06,6.068578698590613e-06,5.219,5.217
1556946,6.05e-06,6.122282934861327e-06,5.218,5.213
5091678,6.07e-06,6.17598717113204e-06,5.217,5.209
1488064,6.16e-06,6.229691407402753e-06,5.21,5.206
2917185,6.2e-06,6.283395643673467e-06,5.208,5.202
2917186,6.2e-06,6.33709987994418e-06,5.208,5.198
80062,6.24e-06,6.390804116214893e-06,5.205,5.194
12669249,6.25e-06,6.444508352485606e-06,5.204,5.191
10987218,6.28e-06,6.49821258875632e-06,5.202,5.187
2917165,6.36e-06,6.551916825027033e-06,5.197,5.184
2917166,6.36e-06,6.6056210612977465e-06,5.197,5.18
4005881,6.39e-06,6.6593252975684604e-06,5.194,5.177
1856394,6.46e-06,6.7130295338391736e-06,5.19,5.173
1855843,6.48e-06,6.766733770109887e-06,5.188,5.17
18554566,6.5e-06,6.820438006380601e-06,5.187,5.166
18554565,6.53e-06,6.874142242651314e-06,5.185,5.163
18554524,6.7e-06,6.927846478922027e-06,5.174,5.159
18554560,6.76e-06,6.98155071519274e-06,5.17,5.156
11170081,6.77e-06,7.035254951463454e-06,5.169,5.153
18554568,6.86e-06,7.088959187734167e-06,5.164,5.149
17587105,7e-06,7.14266342400488e-06,5.155,5.146
9479878,7.05e-06,7.196367660275594e-06,5.152,5.143
18554512,7.06e-06,7.250071896546307e-06,5.151,5.14
16543193,7.08e-06,7.3037761328170205e-06,5.15,5.136
5091717,7.08e-06,7.3574803690877345e-06,5.15,5.133
17587137,7.18e-06,7.411184605358448e-06,5.144,5.13
4005762,7.2e-06,7.464888841629161e-06,5.143,5.127
1152771,7.21e-06,7.518593077899875e-06,5.142,5.124
16823358,7.22e-06,7.572297314170588e-06,5.141,5.121
18554521,7.34e-06,7.626001550441301e-06,5.134,5.118
18554514,7.35e-06,7.679705786712015e-06,5.134,5.115
17191792,7.41e-06,7.733410022982728e-06,5.13,5.112
11201729,7.57e-06,7.787114259253441e-06,5.121,5.109
12669902,7.58e-06,7.840818495524154e-06,5.12,5.106
17663579,7.82e-06,7.894522731794868e-06,5.107,5.103
18554559,7.83e-06,7.94822696806558e-06,5.106,5.1
18554557,7.84e-06,8.001931204336295e-06,5.106,5.097
18554522,7.84e-06,8.055635440607009e-06,5.106,5.094
17769978,8.03e-06,8.109339676877722e-06,5.095,5.091
5109453,8.06e-06,8.163043913148435e-06,5.094,5.088
5884669,8.12e-06,8.216748149419148e-06,5.09,5.085
9202394,8.12e-06,8.270452385689861e-06,5.09,5.082
5109296,8.13e-06,8.324156621960576e-06,5.09,5.08
18554506,8.19e-06,8.377860858231289e-06,5.087,5.077
18554504,8.23e-06,8.431565094502002e-06,5.085,5.074
8032298,8.34e-06,8.485269330772715e-06,5.079,5.071
18554540,8.37e-06,8.538973567043428e-06,5.077,5.069
17868916,8.38e-06,8.592677803314142e-06,5.077,5.066
14430528,8.51e-06,8.646382039584855e-06,5.07,5.063
1487692,8.58e-06,8.70008627585557e-06,5.067,5.06
4660493,8.58e-06,8.753790512126283e-06,5.067,5.058
10458330,8.62e-06,8.807494748396996e-06,5.064,5.055
9712059,8.65e-06,8.861198984667709e-06,5.063,5.053
15155574,8.79e-06,8.914903220938422e-06,5.056,5.05
17572604,8.82e-06,8.968607457209135e-06,5.055,5.047
5525005,8.97e-06,9.02231169347985e-06,5.047,5.045
5524999,8.97e-06,9.076015929750563e-06,5.047,5.042
7871267,9.01e-06,9.129720166021276e-06,5.045,5.04
2130816,9.01e-06,9.18342440229199e-06,5.045,5.037
18554567,9.02e-06,9.237128638562703e-06,5.045,5.034
14325156,9.04e-06,9.290832874833416e-06,5.044,5.032
9479995,9.13e-06,9.344537111104129e-06,5.04,5.029
18554571,9.24e-06,9.398241347374844e-06,5.034,5.027
18554538,9.3e-06,9.451945583645557e-06,5.032,5.024
4660545,9.3e-06,9.50564981991627e-06,5.032,5.022
6070200,9.39e-06,9.559354056186983e-06,5.027,5.02
10096612,9.4e-06,9.613058292457696e-06,5.027,5.017
9851183,9.43e-06,9.66676252872841e-06,5.025,5.015
18554572,9.5e-06,9.720466764999122e-06,5.022,5.012
7458889,9.57e-06,9.774171001269837e-06,5.019,5.01
6073153,9.67e-06,9.82787523754055e-06,5.015,5.008
17587192,9.68e-06,9.881579473811264e-06,5.014,5.005
7458898,9.74e-06,9.935283710081977e-06,5.011,5.003
17191660,9.78e-06,9.98898794635269e-06,5.01,5.0
18554533,9.86e-06,1.0042692182623403e-05,5.006,4.998
5232000,9.89e-06,1.0096396418894118e-05,5.005,4.996
16070591,9.97e-06,1.0150100655164831e-05,5.001,4.994
8642011,9.99e-06,1.0203804891435544e-05,5.0,4.991
18554562,1.01e-05,1.0257509127706257e-05,4.996,4.989
3206709,1.01e-05,1.031121336397697e-05,4.996,4.987
642433,1.02e-05,1.0364917600247683e-05,4.991,4.984
6073160,1.05e-05,1.0418621836518397e-05,4.979,4.982
158979,1.05e-05,1.0472326072789111e-05,4.979,4.98
4660479,1.05e-05,1.0526030309059824e-05,4.979,4.978
18554505,1.05e-05,1.0579734545330538e-05,4.979,4.976
12248946,1.07e-05,1.063343878160125e-05,4.971,4.973
12249267,1.07e-05,1.0687143017871964e-05,4.971,4.971
10032438,1.07e-05,1.0740847254142677e-05,4.971,4.969
6395596,1.07e-05,1.0794551490413392e-05,4.971,4.967
1851993,1.09e-05,1.0848255726684105e-05,4.963,4.965
11355005,1.09e-05,1.0901959962954818e-05,4.963,4.962
12976804,1.1e-05,1.0955664199225531e-05,4.959,4.96
6795711,1.1e-05,1.1009368435496244e-05,4.959,4.958
5109501,1.11e-05,1.1063072671766957e-05,4.955,4.956
13798434,1.11e-05,1.111677690803767e-05,4.955,4.954
13798433,1.11e-05,1.1170481144308385e-05,4.955,4.952
13798428,1.13e-05,1.1224185380579099e-05,4.947,4.95
17587355,1.14e-05,1.1277889616849812e-05,4.943,4.948
13798424,1.15e-05,1.1331593853120525e-05,4.939,4.946
2130992,1.16e-05,1.1385298089391238e-05,4.936,4.944
5231972,1.16e-05,1.1439002325661951e-05,4.936,4.942
6069358,1.17e-05,1.1492706561932666e-05,4.932,4.94
1556914,1.17e-05,1.1546410798203379e-05,4.932,4.938
80098,1.17e-05,1.1600115034474092e-05,4.932,4.936
7127285,1.17e-05,1.1653819270744805e-05,4.932,4.934
12248467,1.18e-05,1.1707523507015518e-05,4.928,4.932
5109560,1.19e-05,1.1761227743286232e-05,4.924,4.93
12247582,1.2e-05,1.1814931979556945e-05,4.921,4.928
15582796,1.21e-05,1.186863621582766e-05,4.917,4.926
12178322,1.23e-05,1.1922340452098373e-05,4.91,4.924
6072949,1.24e-05,1.1976044688369086e-05,4.907,4.922
8043474,1.25e-05,1.2029748924639799e-05,4.903,4.92
12111416,1.25e-05,1.2083453160910512e-05,4.903,4.918
4772890,1.25e-05,1.2137157397181225e-05,4.903,4.916
10050698,1.25e-05,1.2190861633451938e-05,4.903,4.914
8171736,1.26e-05,1.2244565869722653e-05,4.9,4.912
12447528,1.27e-05,1.2298270105993366e-05,4.896,4.91
10626334,1.28e-05,1.235197434226408e-05,4.893,4.908
14743910,1.28e-05,1.2405678578534793e-05,4.893,4.906
12245011,1.28e-05,1.2459382814805506e-05,4.893,4.905
4228665,1.29e-05,1.2513087051076219e-05,4.889,4.903
5231988,1.29e-05,1.2566791287346934e-05,4.889,4.901
5383789,1.29e-05,1.2620495523617647e-05,4.889,4.899
4228664,1.29e-05,1.267419975988836e-05,4.889,4.897
6571296,1.29e-05,1.2727903996159073e-05,4.889,4.895
13934809,1.29e-05,1.2781608232429786e-05,4.889,4.893
4228659,1.3e-05,1.28353124687005e-05,4.886,4.892
4228723,1.3e-05,1.2889016704971212e-05,4.886,4.89
3731338,1.31e-05,1.2942720941241927e-05,4.883,4.888
6770825,1.32e-05,1.299642517751264e-05,4.879,4.886
7882241,1.32e-05,1.3050129413783354e-05,4.879,4.884
17691697,1.33e-05,1.3103833650054067e-05,4.876,4.883
18554592,1.36e-05,1.315753788632478e-05,4.866,4.881
6072965,1.36e-05,1.3211242122595493e-05,4.866,4.879
16626080,1.36e-05,1.3264946358866208e-05,4.866,4.877
6072969,1.36e-05,1.3318650595136921e-05,4.866,4.876
1410911,1.37e-05,1.3372354831407634e-05,4.863,4.874
6072983,1.37e-05,1.3426059067678347e-05,4.863,4.872
3445000,1.39e-05,1.347976330394906e-05,4.857,4.87
3098507,1.4e-05,1.3533467540219773e-05,4.854,4.869
5552166,1.4e-05,1.3587171776490487e-05,4.854,4.867
14947101,1.41e-05,1.3640876012761201e-05,4.851,4.865
5231969,1.42e-05,1.3694580249031914e-05,4.848,4.863
12243805,1.42e-05,1.3748284485302628e-05,4.848,4.862
12246419,1.42e-05,1.380198872157334e-05,4.848,4.86
18554578,1.43e-05,1.3855692957844054e-05,4.845,4.858
5109529,1.44e-05,1.3909397194114767e-05,4.842,4.857
12246480,1.44e-05,1.396310143038548e-05,4.842,4.855
13127939,1.44e-05,1.4016805666656195e-05,4.842,4.853
4404260,1.44e-05,1.4070509902926908e-05,4.842,4.852
18554594,1.45e-05,1.4124214139197621e-05,4.839,4.85
12246055,1.46e-05,1.4177918375468334e-05,4.836,4.848
182970,1.46e-05,1.4231622611739047e-05,4.836,4.847
7458915,1.46e-05,1.428532684800976e-05,4.836,4.845
14947060,1.46e-05,1.4339031084280475e-05,4.836,4.843
6280774,1.46e-05,1.4392735320551189e-05,4.836,4.842
9356283,1.47e-05,1.4446439556821902e-05,4.833,4.84
13798405,1.48e-05,1.4500143793092615e-05,4.83,4.839
18554593,1.49e-05,1.4553848029363328e-05,4.827,4.837
18554585,1.5e-05,1.4607552265634041e-05,4.824,4.835
14430561,1.5e-05,1.4661256501904754e-05,4.824,4.834
18554584,1.5e-05,1.4714960738175469e-05,4.824,4.832
1069814,1.51e-05,1.4768664974446182e-05,4.821,4.831
1856458,1.51e-05,1.4822369210716895e-05,4.821,4.829
18554586,1.51e-05,1.4876073446987608e-05,4.821,4.828
8518554,1.51e-05,1.4929777683258322e-05,4.821,4.826
1856456,1.51e-05,1.4983481919529035e-05,4.821,4.824
18554591,1.52e-05,1.503718615579975e-05,4.818,4.823
13798423,1.52e-05,1.5090890392070463e-05,4.818,4.821
13798420,1.52e-05,1.5144594628341176e-05,4.818,4.82
13798422,1.53e-05,1.5198298864611889e-05,4.815,4.818
6280070,1.53e-05,1.5252003100882602e-05,4.815,4.817
10904818,1.54e-05,1.5305707337153317e-05,4.812,4.815
4404281,1.54e-05,1.535941157342403e-05,4.812,4.814
18554574,1.54e-05,1.5413115809694743e-05,4.812,4.812
1485933,1.55e-05,1.5466820045965456e-05,4.81,4.811
1487340,1.55e-05,1.552052428223617e-05,4.81,4.809
932976,1.55e-05,1.5574228518506883e-05,4.81,4.808
8971824,1.56e-05,1.5627932754777596e-05,4.807,4.806
13921292,1.57e-05,1.568163699104831e-05,4.804,4.805
5232032,1.57e-05,1.5735341227319022e-05,4.804,4.803
5232296,1.58e-05,1.5789045463589735e-05,4.801,4.802
18554576,1.59e-05,1.5842749699860448e-05,4.799,4.8
14900329,1.6e-05,1.589645393613116e-05,4.796,4.799
11322663,1.6e-05,1.5950158172401878e-05,4.796,4.797
5232274,1.6e-05,1.600386240867259e-05,4.796,4.796
5232038,1.61e-05,1.6057566644943304e-05,4.793,4.794
5232021,1.61e-05,1.6111270881214017e-05,4.793,4.793
18554581,1.62e-05,1.616497511748473e-05,4.79,4.791
6571302,1.62e-05,1.6218679353755443e-05,4.79,4.79
3170670,1.63e-05,1.6272383590026157e-05,4.788,4.789
10904826,1.63e-05,1.632608782629687e-05,4.788,4.787
17329522,1.63e-05,1.6379792062567583e-05,4.788,4.786
18554624,1.65e-05,1.6433496298838296e-05,4.783,4.784
18272635,1.67e-05,1.648720053510901e-05,4.777,4.783
13798427,1.68e-05,1.6540904771379722e-05,4.775,4.781
10904801,1.68e-05,1.6594609007650435e-05,4.775,4.78
18554652,1.69e-05,1.6648313243921152e-05,4.772,4.779
8043569,1.7e-05,1.6702017480191865e-05,4.77,4.777
11764344,1.7e-05,1.6755721716462578e-05,4.77,4.776
159186,1.71e-05,1.680942595273329e-05,4.767,4.774
91263,1.71e-05,1.6863130189004004e-05,4.767,4.773
17191730,1.72e-05,1.6916834425274718e-05,4.764,4.772
11087166,1.73e-05,1.697053866154543e-05,4.762,4.77
6162382,1.74e-05,1.7024242897816144e-05,4.759,4.769
8158093,1.74e-05,1.7077947134086857e-05,4.759,4.768
1071011,1.75e-05,1.713165137035757e-05,4.757,4.766
1869919,1.75e-05,1.7185355606628283e-05,4.757,4.765
17714441,1.76e-05,1.7239059842898996e-05,4.754,4.763
3912753,1.76e-05,1.729276407916971e-05,4.754,4.762
11239409,1.77e-05,1.7346468315440426e-05,4.752,4.761
18554589,1.77e-05,1.740017255171114e-05,4.752,4.759
18554605,1.77e-05,1.7453876787981852e-05,4.752,4.758
18554601,1.77e-05,1.7507581024252565e-05,4.752,4.757
7791558,1.77e-05,1.756128526052328e-05,4.752,4.755
5232284,1.78e-05,1.761498949679399e-05,4.75,4.754
18554620,1.78e-05,1.7668693733064705e-05,4.75,4.753
13798397,1.79e-05,1.7722397969335418e-05,4.747,4.751
18554596,1.8e-05,1.777610220560613e-05,4.745,4.75
8043550,1.81e-05,1.7829806441876844e-05,4.742,4.749
17732938,1.82e-05,1.7883510678147557e-05,4.74,4.748
6796076,1.82e-05,1.793721491441827e-05,4.74,4.746
11256453,1.82e-05,1.7990919150688984e-05,4.74,4.745
13191935,1.83e-05,1.80446233869597e-05,4.738,4.744
13191956,1.83e-05,1.8098327623230413e-05,4.738,4.742
17732883,1.83e-05,1.8152031859501126e-05,4.738,4.741
12321770,1.83e-05,1.820573609577184e-05,4.738,4.74
9855448,1.84e-05,1.8259440332042553e-05,4.735,4.739
7458874,1.84e-05,1.8313144568313266e-05,4.735,4.737
9063759,1.84e-05,1.836684880458398e-05,4.735,4.736
18554604,1.85e-05,1.8420553040854692e-05,4.733,4.735
14337154,1.85e-05,1.8474257277125405e-05,4.733,4.733
3603957,1.86e-05,1.8527961513396118e-05,4.73,4.732
18272634,1.86e-05,1.858166574966683e-05,4.73,4.731
17867643,1.87e-05,1.8635369985937545e-05,4.728,4.73
17732893,1.87e-05,1.8689074222208258e-05,4.728,4.728
5752267,1.87e-05,1.8742778458478974e-05,4.728,4.727
14820119,1.87e-05,1.8796482694749687e-05,4.728,4.726
17732921,1.87e-05,1.88501869310204e-05,4.728,4.725
14820120,1.88e-05,1.8903891167291114e-05,4.726,4.723
5232230,1.89e-05,1.8957595403561827e-05,4.724,4.722
2457199,1.89e-05,1.901129963983254e-05,4.724,4.721
10904769,1.9e-05,1.9065003876103253e-05,4.721,4.72
5565976,1.9e-05,1.9118708112373966e-05,4.721,4.719
18554626,1.9e-05,1.917241234864468e-05,4.721,4.717
17732900,1.91e-05,1.9226116584915392e-05,4.719,4.716
932808,1.91e-05,1.9279820821186106e-05,4.719,4.715
932757,1.92e-05,1.933352505745682e-05,4.717,4.714
13798387,1.92e-05,1.9387229293727532e-05,4.717,4.712
1709353,1.92e-05,1.9440933529998245e-05,4.717,4.711
18554650,1.93e-05,1.949463776626896e-05,4.714,4.71
11484406,1.93e-05,1.9548342002539675e-05,4.714,4.709
1487225,1.94e-05,1.9602046238810388e-05,4.712,4.708
1487652,1.94e-05,1.96557504750811e-05,4.712,4.707
18554610,1.94e-05,1.9709454711351814e-05,4.712,4.705
10904792,1.95e-05,1.9763158947622527e-05,4.71,4.704
10904782,1.95e-05,1.981686318389324e-05,4.71,4.703
14820107,1.95e-05,1.9870567420163953e-05,4.71,4.702
18272629,1.96e-05,1.9924271656434666e-05,4.708,4.701
10904789,1.97e-05,1.997797589270538e-05,4.706,4.699
1527381,1.98e-05,2.0031680128976093e-05,4.703,4.698
18554630,1.98e-05,2.0085384365246806e-05,4.703,4.697
2816390,1.99e-05,2.013908860151752e-05,4.701,4.696
7655349,1.99e-05,2.0192792837788236e-05,4.701,4.695
1858311,1.99e-05,2.024649707405895e-05,4.701,4.694
16433251,2e-05,2.0300201310329662e-05,4.699,4.692
17791976,2e-05,2.0353905546600375e-05,4.699,4.691
3170503,2.01e-05,2.0407609782871088e-05,4.697,4.69
18554582,2.01e-05,2.04613140191418e-05,4.697,4.689
13798376,2.02e-05,2.0515018255412514e-05,4.695,4.688
17006746,2.02e-05,2.0568722491683227e-05,4.695,4.687
6420744,2.02e-05,2.062242672795394e-05,4.695,4.686
7655365,2.04e-05,2.0676130964224654e-05,4.69,4.685
18554634,2.05e-05,2.0729835200495367e-05,4.688,4.683
18554637,2.05e-05,2.078353943676608e-05,4.688,4.682
7150183,2.06e-05,2.0837243673036793e-05,4.686,4.681
3448190,2.06e-05,2.089094790930751e-05,4.686,4.68
18328196,2.06e-05,2.0944652145578223e-05,4.686,4.679
18554636,2.06e-05,2.0998356381848936e-05,4.686,4.678
7459650,2.07e-05,2.105206061811965e-05,4.684,4.677
4539941,2.08e-05,2.1105764854390362e-05,4.682,4.676
4285759,2.09e-05,2.1159469090661075e-05,4.68,4.674
9422683,2.1e-05,2.121317332693179e-05,4.678,4.673
16937137,2.1e-05,2.12668775632025e-05,4.678,4.672
7127636,2.11e-05,2.1320581799473215e-05,4.676,4.671
16937136,2.11e-05,2.1374286035743928e-05,4.676,4.67
14323549,2.12e-05,2.142799027201464e-05,4.674,4.669
9422696,2.12e-05,2.1481694508285354e-05,4.674,4.668
7867073,2.14e-05,2.1535398744556067e-05,4.67,4.667
10016371,2.15e-05,2.1589102980826784e-05,4.668,4.666
14900009,2.15e-05,2.1642807217097497e-05,4.668,4.665
8032308,2.15e-05,2.169651145336821e-05,4.668,4.664
10029894,2.15e-05,2.1750215689638923e-05,4.668,4.663
7459652,2.16e-05,2.1803919925909636e-05,4.666,4.661
7459648,2.16e-05,2.185762416218035e-05,4.666,4.66
7127732,2.17e-05,2.1911328398451062e-05,4.664,4.659
10224383,2.17e-05,2.1965032634721776e-05,4.664,4.658
16918123,2.19e-05,2.201873687099249e-05,4.66,4.657
11256355,2.2e-05,2.2072441107263202e-05,4.658,4.656
16937157,2.2e-05,2.2126145343533915e-05,4.658,4.655
14451298,2.21e-05,2.2179849579804628e-05,4.656,4.654
4228718,2.21e-05,2.223355381607534e-05,4.656,4.653
15666999,2.21e-05,2.2287258052346058e-05,4.656,4.652
11256208,2.22e-05,2.234096228861677e-05,4.654,4.651
8171752,2.23e-05,2.2394666524887484e-05,4.652,4.65
8171805,2.24e-05,2.2448370761158197e-05,4.65,4.649
13084374,2.25e-05,2.250207499742891e-05,4.648,4.648
10016367,2.26e-05,2.2555779233699623e-05,4.646,4.647
7459665,2.26e-05,2.2609483469970337e-05,4.646,4.646
14890412,2.26e-05,2.266318770624105e-05,4.646,4.645
9229529,2.26e-05,2.2716891942511763e-05,4.646,4.644
13084375,2.28e-05,2.2770596178782476e-05,4.642,4.643
5232223,2.29e-05,2.282430041505319e-05,4.64,4.642
8171746,2.3e-05,2.2878004651323902e-05,4.638,4.641
5185529,2.31e-05,2.2931708887594615e-05,4.636,4.64
3912788,2.33e-05,2.2985413123865332e-05,4.633,4.639
7459539,2.34e-05,2.3039117360136045e-05,4.631,4.638
17596283,2.34e-05,2.3092821596406758e-05,4.631,4.637
3731350,2.35e-05,2.314652583267747e-05,4.629,4.636
7573849,2.36e-05,2.3200230068948184e-05,4.627,4.635
3076948,2.36e-05,2.3253934305218898e-05,4.627,4.634
3076909,2.36e-05,2.330763854148961e-05,4.627,4.633
11452245,2.39e-05,2.3361342777760324e-05,4.622,4.632
9422825,2.39e-05,2.3415047014031037e-05,4.622,4.631
6571368,2.4e-05,2.346875125030175e-05,4.62,4.63
5185382,2.41e-05,2.3522455486572463e-05,4.618,4.629
6683972,2.41e-05,2.3576159722843176e-05,4.618,4.628
7395382,2.41e-05,2.362986395911389e-05,4.618,4.627
3731337,2.41e-05,2.3683568195384603e-05,4.618,4.626
4660529,2.42e-05,2.373727243165532e-05,4.616,4.625
7458878,2.42e-05,2.3790976667926032e-05,4.616,4.624
4401653,2.43e-05,2.3844680904196745e-05,4.614,4.623
17596280,2.44e-05,2.389838514046746e-05,4.613,4.622
9423014,2.44e-05,2.395208937673817e-05,4.613,4.621
2995399,2.44e-05,2.4005793613008885e-05,4.613,4.62
5494647,2.45e-05,2.4059497849279598e-05,4.611,4.619
5232226,2.46e-05,2.411320208555031e-05,4.609,4.618
3076866,2.47e-05,2.4166906321821024e-05,4.607,4.617
1556369,2.48e-05,2.4220610558091737e-05,4.606,4.616
2710084,2.48e-05,2.427431479436245e-05,4.606,4.615
7127152,2.5e-05,2.4328019030633164e-05,4.602,4.614
7573893,2.51e-05,2.4381723266903877e-05,4.6,4.613
10016348,2.51e-05,2.4435427503174593e-05,4.6,4.612
12447358,2.51e-05,2.4489131739445306e-05,4.6,4.611
12112473,2.52e-05,2.454283597571602e-05,4.599,4.61
