ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000122691	TWIST1	7	19060614	19157295	-1	protein_coding	7291	TWIST1	0.182033891254288	NA	3	14.57	0	NA	NA	NA	NA	2.177726e-06	rs10260515	15
ENSG00000196335	STK31	7	23749786	23872132	1	protein_coding	56164	STK31	0.233315306725925	-0.131377652	0	0	7	9.81599e-06	1.50413e-70	GTEx/v8/Esophagus_Mucosa	+	5.130694e-06	rs10282616	16
ENSG00000231817	RP11-189B4.6	13	47029270	47060641	-1	lincRNA	NA	NA	NA	NA	1	7.681	0	NA	NA	NA	NA	2.826284e-06	rs144305284	17
ENSG00000227019	OR7E101P	13	47034744	47035256	1	pseudogene	NA	OR7E101P	NA	NA	1	7.681	0	NA	NA	NA	NA	2.826284e-06	rs144305284	17
ENSG00000165801	ARHGEF40	14	21538429	21558399	1	protein_coding	55701	ARHGEF40	7.1856790203222e-05	-0.609282628	0	0	7	1.51821e-06	1.90736e-45	GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial	-	5.304215e-07	rs12895726	18
ENSG00000165804	ZNF219	14	21558205	21572881	-1	protein_coding	51222	ZNF219	0.988717808247592	NA	3	22.1	0	NA	NA	NA	NA	2.355409e-06	rs12895726	18
ENSG00000232070	TMEM253	14	21567096	21571883	1	protein_coding	643382	TMEM253	NA	-0.199667326	3	22.1	0	NA	NA	NA	NA	2.355409e-06	rs12895726	18
ENSG00000178107	RP11-998D10.4	14	21576202	21584862	1	lincRNA	NA	NA	NA	NA	9	22.1	0	NA	NA	NA	NA	5.304215e-07	rs12895726	18
ENSG00000258722	RP11-998D10.5	14	21578454	21581631	-1	pseudogene	NA	NA	NA	NA	9	22.1	0	NA	NA	NA	NA	5.304215e-07	rs12895726	18
ENSG00000200102	RNU6-252P	14	21581798	21581904	-1	snRNA	NA	RNU6-252P	NA	NA	9	22.1	0	NA	NA	NA	NA	5.304215e-07	rs12895726	18
ENSG00000100596	SPTLC2	14	77972340	78083116	-1	protein_coding	9517	SPTLC2	0.820593934643991	-0.163336734	13	5.887	8	3.62205e-05	0.00105863	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Heart_Left_Ventricle	+	9.924125e-06	rs80300504	20
ENSG00000240233	RN7SL587P	14	78013911	78014212	-1	misc_RNA	NA	RN7SL587P	NA	NA	8	3.008	0	NA	NA	NA	NA	1.395835e-05	rs80300504	20
ENSG00000182175	RGMA	15	93586636	93632433	-1	protein_coding	56963	RGMA	0.010575528851855	0.297533272	4	8.697	0	NA	NA	NA	NA	9.687924e-06	rs73460328	21
ENSG00000258611	RP11-368J22.2	15	93608815	93609835	-1	pseudogene	NA	NA	NA	NA	3	8.505	0	NA	NA	NA	NA	9.687924e-06	rs73460328	21
ENSG00000267898	CTD-2639E6.9	19	49467232	49468415	1	lincRNA	NA	NA	NA	NA	0	0	4	1.86397e-05	0.028601	GTEx/v8/Esophagus_Muscularis	-	6.570545e-05	rs10424801	23
ENSG00000161618	ALDH16A1	19	49956426	49974305	1	protein_coding	126133	ALDH16A1	1.35194745543971e-07	0.132278749	0	0	1	7.17698e-05	4.40461e-49	GTEx/v8/Esophagus_Mucosa	-	0.003072973	rs10424801	23
ENSG00000090554	FLT3LG	19	49977464	49989488	1	protein_coding	2323	FLT3LG	0.950828697992112	NA	0	0	1	0.000125251	0.00329107	GTEx/v8/Artery_Tibial	-	0.003223001	rs10424801	23
ENSG00000200259	SNORD35A	19	49994432	49994517	1	snoRNA	26816	SNORD35A	NA	NA	0	0	4	1.37298e-05	0.0269802	GTEx/v8/Heart_Atrial_Appendage	-	0.0002239788	rs10424801	23
ENSG00000142534	RPS11	19	49999622	50002946	1	protein_coding	84546	RPS11	0.913344861476602	-0.285364057	0	0	26	3.56112e-07	1.11567e-23	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis	+	3.718178e-06	rs10424801	23
ENSG00000104870	FCGRT	19	50010073	50029590	1	protein_coding	2217	FCGRT	0.825587179671645	-0.630530045	0	0	39	3.15487e-08	2.30313e-12	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction	+	5.229825e-06	rs10424801	23
ENSG00000142552	RCN3	19	50030875	50050219	1	protein_coding	57333	RCN3	1.77726445447237e-09	-0.511517783	0	0	3	3.65247e-05	1.47417e-28	GTEx/v8/Whole_Blood	+	5.229825e-06	rs10424801	23
ENSG00000142546	NOSIP	19	50058968	50093519	-1	protein_coding	51070	NOSIP	0.00230156568092138	-0.458734704	21	21.6	44	2.61428e-09	1.18534e-05	GTEx/v8/Esophagus_Mucosa	-	3.718178e-06	rs10424801	23
ENSG00000126460	PRRG2	19	50083903	50094272	1	protein_coding	5639	PRRG2	5.96505604158473e-05	-0.030773185	21	21.6	37	2.17257e-11	3.95284e-09	GTEx/v8/Esophagus_Mucosa:GTEx/v8/Liver	-	3.718178e-06	rs10424801	23
ENSG00000126464	PRR12	19	50094900	50129696	1	protein_coding	57479	PRR12	0.999969576883676	NA	50	21.6	44	1.71961e-32	5.58861e-44	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Liver	-	3.718178e-06	rs10424801	23
ENSG00000268636	CTB-33G10.11	19	50129251	50129696	-1	antisense	NA	NA	NA	NA	20	7.603	0	NA	NA	NA	NA	3.718178e-06	rs10424801	23
ENSG00000126458	RRAS	19	50138549	50143458	-1	protein_coding	6237	RRAS	0.287257428796457	-0.530932413	9	2.681	44	1.15188e-18	4.3809e-14	GTEx/v8/Esophagus_Mucosa	-	3.718178e-06	rs10424801	23
ENSG00000126461	SCAF1	19	50145382	50161899	1	protein_coding	58506	SCAF1	0.998787538768532	NA	3	1.674	35	3.30282e-08	0.00012468	GTEx/v8/Esophagus_Mucosa	-	3.718178e-06	rs10424801	23
ENSG00000126456	IRF3	19	50162826	50169132	-1	protein_coding	3661	IRF3	0.00321741798317075	NA	0	0	44	9.21453e-10	6.09539e-10	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis	-	3.718178e-06	rs10424801	23
ENSG00000169169	CPT1C	19	50194155	50216988	1	protein_coding	126129	CPT1C	0.0002846277169503	-0.155830562	0	0	18	4.07983e-07	1.0048e-12	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Esophagus_Muscularis	+	5.229825e-06	rs10424801	23
ENSG00000268006	PTOV1-AS1	19	50341896	50354933	-1	antisense	100506033	PTOV1-AS1	NA	NA	0	0	3	2.37503e-05	0.00390678	GTEx/v8/Breast_Mammary_Tissue	+	4.329917e-05	rs10424801	23
ENSG00000204555	RP4-610C12.2	20	29449474	29449652	-1	pseudogene	NA	NA	NA	NA	4	1.782	0	NA	NA	NA	NA	NA	rs2379709	24
ENSG00000205611	RP4-610C12.4	20	29513582	29521213	-1	lincRNA	NA	NA	NA	NA	4	6.737	1	0.000198448	2.49538e-07	GTEx/v8/Colon_Transverse	NA	NA	rs2379709	24
ENSG00000225490	RP4-610C12.3	20	29521637	29522987	-1	lincRNA	NA	NA	NA	NA	3	6.737	0	NA	NA	NA	NA	NA	rs2379709	24
ENSG00000200325	Y_RNA	20	29543691	29543802	-1	misc_RNA	NA	NA	NA	NA	6	15.22	0	NA	NA	NA	NA	NA	rs2379709	24
ENSG00000231934	RP4-610C12.1	20	29558488	29596406	-1	antisense	101930560	NA	NA	NA	10	8.254	0	NA	NA	NA	NA	9.782063e-06	rs2379709	24
ENSG00000149531	FRG1B	20	29611857	29634010	1	protein_coding	100134091	FRG1B	0.000302147160400711	NA	5	3.113	0	NA	NA	NA	NA	NA	rs2379709	24
ENSG00000221319	AL441988.1	20	29637162	29637300	1	miRNA	NA	NA	NA	NA	4	4.936	0	NA	NA	NA	NA	NA	rs2379709	24
ENSG00000238151	MLLT10P1	20	29637799	29638060	-1	pseudogene	100505874	MLLT10P1	NA	NA	5	4.936	0	NA	NA	NA	NA	NA	rs2379709	24
ENSG00000244558	RP11-445H22.4	20	43323533	43374662	-1	antisense	NA	NA	NA	NA	23	22.1	21	1.10447e-13	1.53207e-09	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	+	8.839099e-06	rs11696845	25
ENSG00000064205	WISP2	20	43343485	43357150	1	protein_coding	8839	WISP2	0.0016907930598105	-0.24119241	5	6.087	0	NA	NA	NA	NA	0.0003653475	rs11696845	25
ENSG00000124249	KCNK15	20	43374421	43379675	1	protein_coding	60598	KCNK15	0.106847941612793	NA	19	22.1	21	6.39571e-12	5.40135e-08	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle	-	8.839099e-06	rs11696845	25
ENSG00000101098	RIMS4	20	43380449	43438979	-1	protein_coding	140730	RIMS4	0.952765434512064	NA	14	22.1	0	NA	NA	NA	NA	8.839099e-06	rs11696845	25
ENSG00000124155	PIGT	20	44044717	44054884	1	protein_coding	51604	PIGT	4.65840286191537e-12	-0.451378548	0	0	3	5.99441e-05	0.0444994	GTEx/v8/Brain_Cerebellum	+	0.0006231842	rs11696845	25
ENSG00000100346	CACNA1I	22	39966758	40085742	1	protein_coding	8911	CACNA1I	0.999998893513202	0.144812176	1	0.141	0	NA	NA	NA	NA	1.934455e-06	rs8137891	26
ENSG00000100344	PNPLA3	22	44319619	44360368	1	protein_coding	80339	PNPLA3	0.000103859216104925	0.660346309	66	15.7	0	NA	NA	NA	NA	1.181896e-08	rs1883350;rs3747207	27
ENSG00000100347	SAMM50	22	44351301	44406411	1	protein_coding	25813	SAMM50	0.000727114523857838	-0.109976714	9	6.334	62	2.49385e-19	9.18571e-59	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Muscularis	+	1.181896e-08	rs3747207;rs1883350	27
ENSG00000224856	RP4-796I17.5	22	44352907	44353228	1	pseudogene	NA	NA	NA	NA	6	6.334	0	NA	NA	NA	NA	8.935887e-06	rs3747207;rs1883350	27
